delta,theta,alpha,beta
1.489925375871581,1.0740870218496033,0.6046100606601968,0.37908861642543584

1.41884120041818,0.6053724959867977,0.5521641247054212,0.2463729677942574

1.2672560729219713,0.5724894417323649,0.5003439533684294,0.21109790496345338

1.3201459290034467,0.650153487796751,0.46822315042504054,0.2795035462715773

1.5181999499790277,0.9194458828884452,0.4272318794976183,0.23413371039507147

1.7158233139031707,1.4564595047344049,1.1047504009276097,0.7859415468721862
